date,eng_name
4/16/2022,Passover (Day 1)
4/17/2022,Passover (Day 2)
4/18/2022,Passover (Day 3)
4/19/2022,Passover (Day 4)
4/20/2022,Passover (Day 5)
4/21/2022,Passover (Day 6)
4/22/2022,Passover (Day 7)
4/28/2022,Yom HaShoah
5/4/2022,Yom HaZikaron
5/5/2022,Yom HaAtzmaut
5/19/2022,Lag BaOmer
5/29/2022,Jerusalem Day
6/4/2022,Shavuot Eve
6/5/2022,Shavuot
7/17/2022,17th of Tammuz
8/6/2022,Tisha B'Av Eve
8/7/2022,Tisha B'Av
9/25/2022,Rosh Hashana Eve
9/26/2022,Rosh Hashana
9/27/2022,Rosh Hashana (Day 2)
9/28/2022,Gedaliah Fast
10/4/2022,Yom Kippur Eve
10/5/2022,Yom Kippur
10/9/2022,Sukkot Eve
10/10/2022,Sukkot (Day 1)
10/11/2022,Sukkot (Day 2)
10/12/2022,Sukkot (Day 3)
10/13/2022,Sukkot (Day 4)
10/14/2022,Sukkot (Day 5)
10/15/2022,Sukkot (Day 6)
10/16/2022,Sukkot (Day 7) / Hoshanah Rabah
10/17/2022,Shemini Atzeret / Simchat Torah
11/1/2022,Election Day
12/19/2022,Hanukkah (Day 1)
12/20/2022,Hanukkah (Day 2)
12/21/2022,Hanukkah (Day 3)
12/22/2022,Hanukkah (Day 4)
12/23/2022,Hanukkah (Day 5)
12/24/2022,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/25/2022,Hanukkah (Day 7)
12/26/2022,Hanukkah (Day 8)
1/3/2023,Asarah B'Tevet (Tenth of Tevet)
1/27/2023,Holocaust Remembrance Day
2/6/2023,Tu Bishvat
3/6/2023,Fast of Esther
3/7/2023,Purim
3/8/2023,Shushan Purim (Jerusalem)
4/5/2023,Passover Eve
4/6/2023,Passover (Day 1)
4/7/2023,Passover (Day 2)
4/8/2023,Passover (Day 3)
4/9/2023,Passover (Day 4)
4/10/2023,Passover (Day 5)
4/11/2023,Passover (Day 6)
4/12/2023,Passover (Day 7)
4/18/2023,Yom HaShoah
4/25/2023,Yom HaZikaron
4/26/2023,Yom HaAtzmaut
5/9/2023,Lag BaOmer
5/19/2023,Jerusalem Day
5/25/2023,Shavuot Eve
5/26/2023,Shavuot
7/6/2023,17th of Tammuz
7/26/2023,Tisha B'Av Eve
7/27/2023,Tisha B'Av
9/15/2023,Rosh Hashana Eve
9/16/2023,Rosh Hashana
9/17/2023,Rosh Hashana (Day 2)
9/18/2023,Gedaliah Fast
9/24/2023,Yom Kippur Eve
9/25/2023,Yom Kippur
9/29/2023,Sukkot Eve
9/30/2023,Sukkot (Day 1)
10/1/2023,Sukkot (Day 2)
10/2/2023,Sukkot (Day 3)
10/3/2023,Sukkot (Day 4)
10/4/2023,Sukkot (Day 5)
10/5/2023,Sukkot (Day 6)
10/6/2023,Sukkot (Day 7) / Hoshanah Rabah
10/7/2023,Shemini Atzeret / Simchat Torah
12/8/2023,Hanukkah (Day 1)
12/9/2023,Hanukkah (Day 2)
12/10/2023,Hanukkah (Day 3)
12/11/2023,Hanukkah (Day 4)
12/12/2023,Hanukkah (Day 5)
12/13/2023,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/14/2023,Hanukkah (Day 7)
12/15/2023,Hanukkah (Day 8)
12/22/2023,Asarah B'Tevet (Tenth of Tevet)
1/25/2024,Tu Bishvat
1/27/2024,Holocaust Remembrance Day
3/21/2024,Fast of Esther
3/24/2024,Purim
3/25/2024,Shushan Purim (Jerusalem)
4/22/2024,Passover Eve
4/23/2024,Passover (Day 1)
4/24/2024,Passover (Day 2)
4/25/2024,Passover (Day 3)
4/26/2024,Passover (Day 4)
4/27/2024,Passover (Day 5)
4/28/2024,Passover (Day 6)
4/29/2024,Passover (Day 7)
5/6/2024,Yom HaShoah
5/13/2024,Yom HaZikaron
5/14/2024,Yom HaAtzmaut
5/26/2024,Lag BaOmer
6/5/2024,Jerusalem Day
6/11/2024,Shavuot Eve
6/12/2024,Shavuot
7/23/2024,17th of Tammuz
8/12/2024,Tisha B'Av Eve
8/13/2024,Tisha B'Av
10/2/2024,Rosh Hashana Eve
10/3/2024,Rosh Hashana
10/4/2024,Rosh Hashana (Day 2)
10/6/2024,Gedaliah Fast
